date,period,food_inflation,nonfood_inflation,services_inflation,aggregate_inflation,aggregate_inflation_rosstat,aggregate_inflation_cbr,inflation_target,key_rate,real_expected_inflation,real_perceived_inflation,wciom_perceived_index,wciom_expected_index,food_inflation_mom,nonfood_inflation_mom,services_inflation_mom,aggregate_inflation_rosstat_mom
2019-04-01,39,0.059226305952855496,0.0449763756020114,0.05011692497398479,0.051747046684375686,0.051747046684375686,0.052000000000000005,0.04,0.0775,0.09390000000000001,0.105483,59.400000000000006,77.71739130434783,0.0042999999999999705,0.0019000000000000128,0.0020999999999999908,0.0029000000000001247
2019-05-01,40,0.06420765840230347,0.038036108238278965,0.0505355067079063,0.05132794046931899,0.05132794046931899,0.051,0.04,0.0775,0.092639,0.104213,60.5,77.68817204301075,0.0040999999999999925,0.0020999999999999908,0.0039000000000000146,0.0034000000000000696
2019-06-01,41,0.055090119189054265,0.03555499414628449,0.049075560599716184,0.04662003348144772,0.04662003348144772,0.047,0.04,0.075,0.094292,0.102392,60.5,78.57142857142857,-0.0048000000000000265,0.0017000000000000348,0.006000000000000005,0.00039999999999995595
2019-07-01,42,0.055407694222420645,0.036072151055067,0.04545020074377293,0.04588937224335354,0.04588937224335354,0.046,0.04,0.0725,0.093712,0.09904299999999999,58.7,80.16304347826087,-0.0030000000000000027,0.0017000000000000348,0.009300000000000086,0.0020000000000000018
2019-08-01,43,0.04979269645151252,0.03555525215711475,0.04451182916636265,0.04327491025894359,0.04327491025894359,0.043,0.04,0.0725,0.091104,0.10026600000000001,56.4,77.71739130434783,-0.009099999999999997,0.0017000000000000348,0.0018000000000000238,-0.0023999999999999577
2019-09-01,44,0.04601041692066277,0.03380112309307859,0.039614377453391914,0.03994176358080037,0.03994176358080037,0.04,0.04,0.07,0.08894099999999999,0.098667,55.1,80.16304347826087,-0.0043999999999999595,0.0019000000000000128,-0.0023000000000000798,-0.0015999999999999348
2019-10-01,45,0.04216134825571283,0.032360285290858215,0.03836609122871337,0.03766187132382215,0.03766187132382215,0.038,0.04,0.065,0.08612199999999999,0.093618,56.699999999999996,81.45161290322581,0.0018000000000000238,0.0031000000000001027,-0.0018000000000000238,0.0012999999999998568
2019-11-01,46,0.03658884475974222,0.03071492573665413,0.039508293929064964,0.03539037270002887,0.03539037270002887,0.035,0.04,0.065,0.082566,0.086797,50.300000000000004,78.42105263157895,0.0044999999999999485,0.0022999999999999687,0.001100000000000101,0.0027999999999999137
2019-12-01,47,0.02588660004983301,0.029686678604035732,0.037645004814274685,0.030461898097727813,0.030461898097727813,0.03,0.04,0.0625,0.09021900000000001,0.093827,52.4,81.64893617021276,0.00649999999999995,0.0014000000000000679,0.0023999999999999577,0.0036000000000000476
2020-01-01,48,0.020011076913377446,0.025491810378403645,0.028513154183554823,0.02423893247214992,0.02423893247214992,,0.04,,0.082594,0.085658,,79.12087912087912,0.006899999999999906,0.0022999999999999687,0.0023999999999999577,0.0040000000000000036
2020-02-01,49,0.01778464138484326,0.02324157899716206,0.030258136580872286,0.023117205246224515,0.023117205246224515,,0.04,,0.079343,0.087466,,80.55555555555556,0.005700000000000038,0.00039999999999995595,0.0037000000000000366,0.0033000000000000806
2020-03-01,50,0.02213804231785277,0.025589165662192936,0.029846568364920723,0.025462868695254715,0.025462868695254715,,0.04,,0.07888099999999999,0.083108,,85.1063829787234,0.009599999999999831,0.0048000000000001375,0.0009000000000001229,0.00550000000000006
2020-04-01,51,0.03526716782407657,0.028148276266200645,0.028921648784511422,0.030984355873391767,0.030984355873391767,,0.04,,,,,85.32608695652173,0.017199999999999882,0.0043999999999999595,0.0012000000000000899,0.008299999999999974
2020-05-01,52,0.0326895680635344,0.028558673742008267,0.029639095894929968,0.030265112252591653,0.030265112252591653,,0.04,,,,,80.85106382978724,0.0016000000000000458,0.0024999999999999467,0.0045999999999999375,0.0026999999999999247
2020-06-01,53,0.03943442557198806,0.030304255997535057,0.02472630498012318,0.03211884796036313,0.03211884796036313,,0.04,,,,,78.45744680851064,0.0017000000000000348,0.0034000000000000696,0.0012000000000000899,0.0021999999999999797
2020-07-01,54,0.04183231842937607,0.03153852285108116,0.025335475477485714,0.033663936056111954,0.033663936056111954,,0.04,,,,,80.91397849462365,-0.0006999999999999229,0.0029000000000001247,0.00990000000000002,0.0034999999999998366
2020-08-01,55,0.04330427851192842,0.03401001377135926,0.027280112534191048,0.03573623745157284,0.03573623745157284,,0.04,,0.088231,0.091901,,81.45161290322581,-0.007699999999999929,0.0040999999999999925,0.0037000000000000366,-0.00040000000000006697
2020-09-01,56,0.043618653043420386,0.037828595516996355,0.025323780757289027,0.036669893915622254,0.036669893915622254,,0.04,,0.089478,0.094193,,81.98924731182795,-0.0040999999999999925,0.005600000000000049,-0.0041999999999999815,-0.0006999999999999229
2020-10-01,57,0.048202324508175076,0.04165669421444762,0.02583736710309026,0.03977586583387516,0.03977586583387516,,0.04,,0.09667999999999999,0.09614,,83.24742268041237,0.006199999999999983,0.006800000000000139,-0.0012999999999999678,0.0042999999999999705
2020-11-01,58,0.05748953275916846,0.045294126549826785,0.025222540991550746,0.04423441811058604,0.04423441811058604,,0.04,,0.10120699999999999,0.10734199999999999,,85.37234042553192,0.013400000000000079,0.005800000000000027,0.0004999999999999449,0.007099999999999884
2020-12-01,59,0.06673534288165262,0.04800809172760734,0.02706352320801586,0.04912471480759639,0.04912471480759639,,0.04,,0.11506999999999999,0.119545,,80.3763440860215,0.015300000000000091,0.0040000000000000036,0.0041999999999999815,0.008299999999999974
2021-01-01,60,0.07012550386806815,0.05114490134068039,0.0284979694694798,0.05194606613227837,0.05194606613227837,0.052000000000000005,0.04,0.0425,0.10483599999999998,0.12821300000000002,66.4,78.72340425531915,0.010099999999999998,0.005300000000000082,0.0038000000000000256,0.006699999999999928
2021-02-01,61,0.07704189620687907,0.056818814242759474,0.029215264058130463,0.05666425341185066,0.05666425341185066,0.057,0.04,0.0425,0.098636,0.122852,68.3,83.69565217391305,0.012199999999999989,0.005800000000000027,0.0043999999999999595,0.007800000000000029
2021-03-01,62,0.07554837535239267,0.059343063002892826,0.032094475507189246,0.057820226240048456,0.057820226240048456,0.057999999999999996,0.04,0.045,0.10071400000000001,0.126584,63.5,82.89473684210526,0.008199999999999985,0.007200000000000095,0.0037000000000000366,0.006599999999999939
2021-04-01,63,0.06529196634637824,0.06166340822253269,0.03312533295376019,0.055197444760726855,0.055197444760726855,0.055,0.04,0.05,0.11878999999999999,0.145488,63.2,83.42105263157895,0.007500000000000062,0.006599999999999939,0.0021999999999999797,0.005800000000000027
2021-05-01,64,0.07380068812230745,0.06685258597843369,0.03291965401030916,0.06014351835240461,0.06014351835240461,0.06,0.04,0.05,0.11327899999999999,0.148068,64.7,81.3157894736842,0.009599999999999831,0.007399999999999851,0.0043999999999999595,0.007399999999999851
2021-06-01,65,0.0788389862496659,0.07046759374435618,0.039522416481010625,0.06511525506788685,0.06511525506788685,0.065,0.04,0.055,0.119136,0.14932399999999998,68.4,83.6842105263158,0.006399999999999961,0.006800000000000139,0.007600000000000051,0.006899999999999906
2021-07-01,66,0.07419672902873731,0.07559098037310519,0.0383901512486815,0.06469069492635526,0.06469069492635526,0.065,0.04,0.065,0.133997,0.165198,67.3,80.52631578947368,-0.0050000000000000044,0.00770000000000004,0.008799999999999919,0.0031000000000001027
2021-08-01,67,0.07701131281939988,0.07976865672352429,0.037872870113257795,0.06692744008376383,0.06692744008376383,0.0668,0.04,0.065,0.124946,0.164937,67.2,82.25806451612904,-0.0051000000000001044,0.008000000000000007,0.0031999999999998696,0.0017000000000000348
2021-09-01,68,0.09215154615555021,0.08062766122370202,0.04225032146340402,0.07408086132719505,0.07408086132719505,0.07400000000000001,0.04,0.0675,0.123028,0.15602,67.3,83.33333333333333,0.00990000000000002,0.006399999999999961,0.0,0.006000000000000005
2021-10-01,69,0.1089755860734698,0.08170099024756317,0.04371137127821201,0.08135333952795709,0.08135333952795709,0.08130000000000001,0.04,0.075,0.13622199999999998,0.162654,68.9,85.67708333333333,0.021700000000000053,0.007800000000000029,9.999999999998899e-05,0.011099999999999888
2021-11-01,70,0.10820956780797664,0.08320663887188884,0.051639613578776444,0.08403766417180547,0.08403766417180547,0.084,0.04,0.075,0.13472699999999999,0.16183499999999998,69.6,86.45833333333333,0.012699999999999934,0.007200000000000095,0.008099999999999996,0.009599999999999831
2021-12-01,71,0.10635400170409182,0.08579597745086542,0.0499640276579183,0.08393015275018723,0.08393015275018723,0.0839,0.04,0.085,0.147674,0.176687,71.0,87.62886597938144,0.013600000000000056,0.006399999999999961,0.0026000000000001577,0.008199999999999985
2022-01-01,72,0.11106375539909985,0.08730807768803928,0.05393878687798215,0.08737564444463564,0.08737564444463564,0.0873,0.04,0.085,0.137279,0.16704999999999998,70.41572623769616,86.26556865554004,0.014399999999999968,0.006699999999999928,0.007600000000000051,0.00990000000000002
